model_size,n_epochs,dataset_percent,masked_percent,n_windows,time,first_train_loss,first_mse,first_rmse,first_mae,first_smape,last_train_loss,last_mse,last_rmse,last_mae,last_smape,windows
small,5,0.5,0.25,5,71.01502442359924,0.000973076035734266,0.049163819184648266,0.0027111974767725006,0.030701776207556493,0.3498190906165919,0.0005967088509351015,0.0362038264771944,0.001527468368172816,0.01917994304555833,0.23856180108844735,"[17, 12, 10, 16, 8]"
small,5,0.5,0.25,10,126.89119791984558,0.002643779618665576,0.0503792693495425,0.0028282763001541322,0.03176577711963306,0.3597530568352352,0.0,0.019165564298000218,0.0004565360868302953,0.008173938463914654,0.133390729531271,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,5,0.5,0.5,1,14.433326244354248,0.0017372150905430317,0.04062299009361636,0.001871803065448457,0.025365066450179274,0.30212161369455703,0.005766719579696655,0.04084845532293632,0.0019156024704202555,0.025293728452832613,0.29885732590302255,[17]
small,5,0.5,0.5,5,70.74891996383667,0.0009802101412788033,0.04211513972690721,0.0020226971178414627,0.02610585030952451,0.30623098333216014,0.0,0.03196866481928605,0.001183703312109978,0.018546224316670065,0.24022235637709463,"[17, 12, 10, 16, 8]"
small,5,0.5,0.5,10,127.68340253829956,0.0010881898924708366,0.043173632259846356,0.00211145348151508,0.026380265154381598,0.3089764182219885,0.0,0.022670041201315178,0.0005827289545231769,0.011376662841915306,0.17281354253815823,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,5,0.5,0.75,1,14.526655673980713,0.00237852381542325,0.03707572592761689,0.0015660401036458602,0.02349185490448638,0.286590976450805,0.00041096872882917523,0.03714351213540201,0.001566759349347896,0.023495329805745365,0.28585235699769096,[17]
small,5,0.5,0.75,5,70.9498062133789,0.002109165769070387,0.037054950477704955,0.0015600042386304787,0.02336506708017177,0.2853998885144813,0.000451987812994048,0.02872105094410059,0.0008930228388611386,0.01616690710963776,0.21785592287999941,"[17, 12, 10, 16, 8]"
small,5,0.5,0.75,10,127.47614669799805,0.0017295887228101492,0.03698042998413785,0.0015512431512739984,0.023300662040265655,0.28536403642589225,0.0,0.020267338893000662,0.0004447433785397489,0.011158441658531524,0.1773980798135701,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,10,0.25,0.25,1,14.539655923843384,0.0007986926939338446,0.06550016873332762,0.004779191084450101,0.03909347963914035,0.3199013566291633,0.0,0.06556666473021372,0.004738785797218952,0.03892309804712041,0.3174440058162394,[17]
small,10,0.25,0.25,5,70.85836935043335,0.0016765971668064594,0.06808483547455946,0.00504470128767525,0.0398145161626594,0.31693057319582996,0.0,0.048400488943257436,0.0027775877350228254,0.02526094005908817,0.21109443233120212,"[17, 12, 10, 16, 8]"
small,10,0.25,0.25,10,126.44147443771362,0.0014719684841111302,0.06444455923912176,0.004587260334731598,0.03835618521237699,0.3129557231517385,0.0,0.02789939483403644,0.0009569330074609489,0.01178628019822755,0.12223632942522655,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,10,0.25,0.5,1,14.539713144302368,0.0009648939012549818,0.054564169903465416,0.003359730420527943,0.03226920204133135,0.2739976794843093,0.0014639680739492178,0.05330103411196228,0.0032231598537894608,0.03149935000655886,0.26836124019238367,[17]
small,10,0.25,0.5,5,70.69153380393982,0.0008951953495852649,0.05503784775877728,0.0034202313091665115,0.03252817540020981,0.274596846312881,0.0011044963030144572,0.04521741513880191,0.0023676939142145133,0.024523300573301432,0.21374042628522938,"[17, 12, 10, 16, 8]"
small,10,0.25,0.5,10,127.32526659965515,0.0010040354682132602,0.05337038985917527,0.0032662669980880066,0.03176832384409371,0.27188584815277367,0.0,0.031061426499519106,0.0011459874158997064,0.01476841127531042,0.1482254503291438,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,10,0.25,0.75,1,14.450023412704468,0.0004190246690995991,0.049167547658105756,0.002714882240141573,0.029379557708897715,0.25551525056874463,0.001814071787521243,0.04889500216341147,0.0026944189793925975,0.029251772728594864,0.25352156516440066,[17]
small,10,0.25,0.75,5,70.7541835308075,0.000858139363117516,0.0490635073878444,0.0026947123108663237,0.029268956026293005,0.25464925871402877,0.0005476504447869956,0.03819264705072187,0.0015946877504684834,0.02103463806355229,0.19425123202975103,"[17, 12, 10, 16, 8]"
small,10,0.25,0.75,10,126.79709243774414,0.0005507413297891617,0.04875089251626965,0.002678232142446525,0.029187729116529226,0.2547841881667807,0.0,0.02720944810238798,0.0008072750497822442,0.014471621551443027,0.14994598447101812,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,10,0.5,0.25,1,28.626392126083374,0.0033402335830032825,0.04927922152012851,0.002704365533707283,0.031200235582699225,0.3548659828735341,0.0018356574000790715,0.04977631366935363,0.002773522077613069,0.031261559249064444,0.35459306512401156,[17]
small,10,0.5,0.25,5,140.64247679710388,0.0058593167923390865,0.05084439358578804,0.002882972999088253,0.03200485119387455,0.3585380235246601,0.00025279531837441027,0.03719668368818236,0.0016228898528567385,0.020633558708367535,0.25266160793347314,"[17, 12, 10, 16, 8]"
small,10,0.5,0.25,10,252.42347478866577,0.0020713438279926777,0.05096624628375275,0.002867360241535337,0.03181722443819898,0.35649416592596905,0.0,0.018852022330541233,0.000430946064236639,0.00819299358940475,0.11987383162435962,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,10,0.5,0.5,1,28.764050483703613,0.0023835382889956236,0.0411743382525995,0.001934658008683924,0.025932943043441792,0.308549593167079,0.0007315778639167547,0.04074955103134959,0.0018819690458376746,0.025280223378498667,0.30140047508867285,[17]
