model_size,n_epochs,dataset_percent,masked_percent,n_windows,time,first_train_loss,first_mse,first_rmse,first_mae,first_smape,last_train_loss,last_mse,last_rmse,last_mae,last_smape,windows
small,1,0.25,0.0,1,1.3555090427398682,0.0017527187010273,0.065816202275104,0.0046610633003267,0.0382588578387362,0.3120661548377281,0.0019279643893241,0.0660581308408875,0.0046852289918216,0.0387453863585042,0.3157365588483797,[17]
small,1,0.25,0.0,5,6.2508203983306885,0.0024475490208715,0.066243600367628,0.0047562019600433,0.0386198053549046,0.3164446102426055,0.0,0.049954197799211,0.0028373213030393,0.0264649380693355,0.22779803112341,"[17, 12, 10, 16, 8]"
small,1,0.25,0.0,10,11.176645040512083,0.0017140215495601,0.0656752945270106,0.0047104143080995,0.0384616400219526,0.3150841569740964,0.0,0.0305415191354179,0.0010492409572732,0.0125518582056579,0.1243165456729278,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,1,0.25,0.25,1,1.26887845993042,0.0014053782215341,0.0679676152712097,0.00500630235598,0.0396857426306686,0.3214547073361631,0.000978177296929,0.0690409407137206,0.0051441157615833,0.0400237392494308,0.3197393306049793,[17]
small,1,0.25,0.25,5,6.273156404495239,0.0018927244236692,0.0670317284264382,0.0049134399875637,0.0393841160507433,0.321135235829477,0.0010122132953256,0.0506195665933037,0.0029824519851234,0.0258645590376825,0.2192895073159444,"[17, 12, 10, 16, 8]"
small,1,0.25,0.25,10,11.267531871795654,0.0017343853833153,0.065659317614522,0.0046579266644403,0.0382191233950851,0.3155249962925841,0.0,0.0285862284231444,0.0009760481800845,0.0119908565862799,0.1145042795706997,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,1,0.25,0.5,1,1.275590896606445,0.0020806109532713,0.0616719769840326,0.0041175952607911,0.0359501910392991,0.2975000051740879,0.0019668252207338,0.0616399289713351,0.0041047765850507,0.036065850167648,0.2999204842061008,[17]
small,1,0.25,0.5,5,6.282634973526001,0.0018461333820596,0.0613647211215257,0.0040956906881312,0.0355929608530739,0.2965880871743908,0.00066152139334,0.0472504698914708,0.002493871387486,0.0252988760234214,0.2222066010432334,"[17, 12, 10, 16, 8]"
small,1,0.25,0.5,10,11.250977277755736,0.0014989064075052,0.0615430318754826,0.004047649359835,0.0356305643223129,0.2959865725124488,0.0,0.0302124025555852,0.000992471768215,0.0149408525783917,0.1471916942812976,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,1,0.25,0.75,1,1.2698352336883545,0.0012917863205075,0.0578242968964035,0.0034931083819517,0.0335412907719637,0.2850551125033692,0.0014106823364272,0.057708340231113,0.0034742577499414,0.0334366225531696,0.2844240279350255,[17]
small,1,0.25,0.75,5,6.303798675537109,0.0017955906223505,0.0577627505719475,0.0034690552525899,0.0336286361642627,0.2851226408502662,0.0002686792868189,0.0439055404928236,0.0020308068516686,0.0237511334999894,0.2165813782507674,"[17, 12, 10, 16, 8]"
small,1,0.25,0.75,10,11.274873733520508,0.0006337817758321,0.0579984120269932,0.0035137075693258,0.0334166500100729,0.2835419335604003,0.0,0.0298578272371516,0.0009694232689674,0.0147552453865234,0.1531697362102834,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,1,0.5,0.0,1,2.464566946029663,0.0024023347068578,0.0499882776689221,0.0027512649618813,0.0311964878797056,0.3544310871685684,0.0038561793044209,0.0504411237503403,0.0027602543098695,0.0313478744932547,0.3547233102859451,[17]
small,1,0.5,0.0,5,12.0107262134552,0.0033253075089305,0.0508193092692008,0.0028366371290944,0.0318615787472018,0.3593692771772311,0.0,0.039203815081959,0.0017751959161469,0.0212994484892887,0.2562685422511733,"[17, 12, 10, 16, 8]"
small,1,0.5,0.0,10,21.859980821609497,0.0028509921394288,0.0506249559766355,0.002812009209469,0.0317735642898731,0.3573901002026587,0.0,0.023597433007214,0.0006711418922301,0.0103956748574346,0.1458543800270617,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,1,0.5,0.25,1,2.456786155700684,0.003081856528297,0.0518506401108719,0.002911373986842,0.0320427910370405,0.3655986887971433,0.0,0.0519681002563751,0.002919449452837,0.0319812117533797,0.3600511168665118,[17]
small,1,0.5,0.25,5,12.00627875328064,0.0041300002485513,0.0508272484567414,0.0028358460266641,0.0316824402351521,0.3594111018736305,0.0004502889642026,0.0370156008018083,0.0015660923549089,0.0194432345226467,0.2296043284831385,"[17, 12, 10, 16, 8]"
small,1,0.5,0.25,10,21.862266063690186,0.0020381119102239,0.0502430741321075,0.0027410958433335,0.0310414361996457,0.3537293805253383,0.0,0.0196047886081882,0.0004376873085098,0.0083818428399618,0.1349754433819296,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
