model_size,n_epochs,dataset_percent,maskared_percent,n_windows,time,first_train_loss,first_mse,first_rmse,first_mae,first_smape,last_train_loss,last_mse,last_rmse,last_mae,last_smape,windows
small,10,0.5,0.5,10,222.3019940853119,0.0015357929514721036,0.043754273043896744,0.0021025501213760987,0.026392200303303498,0.3101979030283777,0.0,0.02126329061552318,0.0005458448111394407,0.010629878482397553,0.16461280225664404,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,10,0.5,0.75,1,24.92965292930603,0.001867382787168026,0.0406462406385652,0.0017311921141779506,0.024167636078826313,0.29197892912559126,0.00012815716036129743,0.040607087275376014,0.0017213223700389452,0.02417740172828451,0.29109142663077053,[17]
small,10,0.5,0.75,5,122.36586380004883,0.0014802911318838596,0.040493139080549245,0.0017122619522901544,0.024113651421327445,0.291702689335117,0.001577676390297711,0.030163142788435165,0.0009995783439507413,0.01708187228567632,0.2282077086098391,"[17, 12, 10, 16, 8]"
small,10,0.5,0.75,10,221.18594551086426,0.0013727491023018956,0.0404041480589698,0.0017010397837298925,0.02411235040405168,0.29069948591687933,0.0,0.020855307111476352,0.0004737007392618572,0.01073796566366856,0.17490349513414252,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,20,0.25,0.25,1,24.8615665435791,0.0008316589519381523,0.06601361059621942,0.004784422065361296,0.038376673195019084,0.31315123480435125,0.0007052631117403507,0.06454805531051042,0.004533002277945281,0.03714097923296797,0.3057528299415952,[17]
small,20,0.25,0.25,5,121.45639395713806,0.0009820081759244204,0.0648763192357492,0.0046007978677280945,0.0376622058068982,0.30924503957692573,0.0,0.0495596820830351,0.0028264281537963357,0.02559131098051484,0.2159269021313473,"[17, 12, 10, 16, 8]"
small,20,0.25,0.25,10,220.36965370178223,0.001256766845472157,0.06371725078706741,0.004450623813325743,0.03722731179430343,0.3097584958927948,0.0,0.030322852534425154,0.001173442977354639,0.012185681797964809,0.10950684943995725,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,20,0.25,0.5,1,24.920467376708984,0.0007317824638448656,0.05634786583303425,0.0034313852156228728,0.032127599260819574,0.2732993720555631,0.0,0.056528047171735374,0.0034545244983232018,0.0326926349409645,0.2768277448481947,[17]
small,20,0.25,0.5,5,121.63493514060974,0.0015915822004899383,0.05701248727399522,0.0035251770224503792,0.03247535406518874,0.2748244878044367,0.0010947117116302252,0.044588948073149365,0.002268533695721317,0.024307145736036963,0.21490197622468696,"[17, 12, 10, 16, 8]"
small,20,0.25,0.5,10,220.4260323047638,0.0009288719738833606,0.05718519205627362,0.003557323296662005,0.03296563526891529,0.27775492743231506,0.0,0.028349669863444515,0.0008893448431879515,0.013889832935000249,0.1486692669855023,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,20,0.25,0.75,1,24.9922091960907,0.0007568878936581314,0.05257527662778681,0.002865049895738652,0.029871951833509387,0.258028280902029,0.00039565766928717494,0.05272909849422633,0.002895602305146248,0.029822717153331055,0.25701055692328817,[17]
small,20,0.25,0.75,5,123.41590762138367,0.0005891874898225069,0.05284678144742159,0.0028975191608192454,0.029825893900673486,0.25773800747038433,0.0006000322173349559,0.04003411061726924,0.0017102768699604229,0.021865389145051057,0.20186156435560312,"[17, 12, 10, 16, 8]"
small,20,0.25,0.75,10,220.95949339866638,0.000982692581601441,0.05262856818149041,0.0028757578017235517,0.029815932383626093,0.25721311962979876,0.0,0.027507286846356158,0.0008244288094217274,0.014211117304689762,0.1526579316474044,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,20,0.5,0.25,1,49.88344430923462,0.0033994829282164574,0.04956815350110673,0.0026856447492838035,0.03041224048570686,0.35093868670156747,0.0006078779697418213,0.04968352295182167,0.002711716040295514,0.030336858452361445,0.34324232888530576,[17]
small,20,0.5,0.25,5,243.59644293785095,0.0020413692109286785,0.049577372140518036,0.0026864151788008597,0.030169793098773982,0.3434383318526031,8.969390910351649e-05,0.035909063242483,0.0015163334252875518,0.01913810395828796,0.24201469169563672,"[17, 12, 10, 16, 8]"
small,20,0.5,0.25,10,441.6284558773041,0.0033630053512752056,0.050948393436018286,0.0028709916780568136,0.031644119354204345,0.3559028544476428,0.0,0.018146047702468,0.00041218184606465114,0.007922064066273011,0.12456855935345419,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,20,0.5,0.5,1,49.71919131278992,0.002171150641515851,0.043370007954008694,0.002055927883241921,0.02624847274575655,0.3098499307421747,0.0006459089927375317,0.0441931865032958,0.0021327983157124883,0.026562871433957042,0.3116972875330012,[17]
small,20,0.5,0.5,5,244.55920219421387,0.003316737012937665,0.04443121408051033,0.0021746889681864686,0.026750979554907524,0.31267170231283803,0.00018023670418187976,0.03269159590741895,0.0012150236785600987,0.018646381669870926,0.23826916512211457,"[17, 12, 10, 16, 8]"
small,20,0.5,0.5,10,443.97839069366455,0.0018488498171791434,0.04337784892791464,0.0020739314843071753,0.026245530227963585,0.308141214727296,0.0,0.024887855413182475,0.0007014093936568754,0.011777127677778198,0.1741448370331773,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,20,0.5,0.75,1,50.217524766922,0.002489748876541853,0.040363707597871154,0.0016937304455322422,0.024000877854392318,0.29125792101032144,0.0029427355621010065,0.040402864618853354,0.0017052682587433998,0.024122866466674373,0.29123391989362984,[17]
small,20,0.5,0.75,5,246.53036379814148,0.0016414463752880692,0.040541152380035556,0.001726700607488219,0.024119584144912398,0.2904694951994661,0.001136025064624846,0.030399907604871358,0.0010084942958972205,0.016886665958703025,0.22282139218794575,"[17, 12, 10, 16, 8]"
small,20,0.5,0.75,10,441.11858773231506,0.0011241651372984052,0.04040208860007606,0.0017037832075081456,0.02398832135324208,0.28981947720561896,0.0,0.02086370185370466,0.0004747133917097107,0.010921480339052386,0.17705498772970657,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
