model_size,n_epochs,dataset_percent,masked_percent,n_windows,time,first_train_loss,first_mse,first_rmse,first_mae,first_smape,last_train_loss,last_mse,last_rmse,last_mae,last_smape,windows,best_epochs,train_losses,eval_pre,eval_post
small,1,0.5,0.75,1,2.9616637229919434,,,,,,,,,,,[12],[0],[0.12215196956458385],"{'mse': 0.06834110596851047, 'rmse': 0.004736448480500583, 'mae': 0.036749263583725794, 'smape': 0.23711891803756133, 'loss': 0.004312793038681977}","{'mse': [0.3183475239917105], 'rmse': [0.10426386772306817], 'mae': [0.19164816525948863], 'smape': [0.7476829643217255], 'loss': [0.09603264420810673]}"
small,1,0.5,0.75,5,15.029792547225952,,,,,,,,,,,"[8, 10, 12, 16, 17]","[0, 0, 0, 0, 0]",[0.1866894107835833],"{'mse': 0.058799079538740175, 'rmse': 0.003539952193114714, 'mae': 0.03007787997417976, 'smape': 0.2078536486403851, 'loss': 0.00322880452990325}","{'mse': [0.0993880765093538, 0.22783240806258576, 0.2799504490120629, 0.2083499236132731, 0.1582222753700026], 'rmse': [0.014193164744088228, 0.060035889343185544, 0.1325215684542361, 0.04849933487623423, 0.03006609809532331], 'mae': [0.05416955017336967, 0.10548324406039543, 0.1258844585544177, 0.11504233613595716, 0.08568967393428578], 'smape': [0.4303236425147517, 0.6250025135873742, 0.494169271117832, 0.6722465436373835, 0.5662928588830163], 'loss': [0.013100351499613479, 0.0562165587519606, 0.11986070255645448, 0.048499333672225475, 0.03006609866861254]}"
small,1,0.75,0.25,1,4.495500802993774,,,,,,,,,,,[12],[0],[0.12747695041931972],"{'mse': 0.06494068935004782, 'rmse': 0.00438131915398257, 'mae': 0.03753697926624382, 'smape': 0.21486091157886805, 'loss': 0.003997267236829632}","{'mse': [0.21035756310938308], 'rmse': [0.046198695257723264], 'mae': [0.1239557411267184], 'smape': [0.5704062314637499], 'loss': [0.04179753383828534]}"
small,1,0.75,0.25,5,21.66297698020935,,,,,,,,,,,"[8, 10, 12, 16, 17]","[0, 0, 0, 0, 0]",[0.15550435830373316],"{'mse': 0.05395600565280869, 'rmse': 0.002995100810041649, 'mae': 0.029034283373934718, 'smape': 0.18562627003029092, 'loss': 0.0027333125633756733}","{'mse': [0.16638144704197796, 0.19990527834623806, 0.1647735316087476, 0.09562317733269338, 0.21416106739603274], 'rmse': [0.030522452902993255, 0.0462182977851258, 0.03574230398084829, 0.010882201155250975, 0.06147100801198878], 'mae': [0.10306789649184793, 0.1209750844456721, 0.09989224520941489, 0.056362483068824076, 0.13397534463547345], 'smape': [0.5773468045687208, 0.6744168682516953, 0.5104873938404294, 0.44259902078123114, 0.8491288710307767], 'loss': [0.027832739676038425, 0.04239605563796229, 0.032773595510257617, 0.010882200498599559, 0.06147100796806626]}"
small,1,0.75,0.5,1,4.397519826889038,,,,,,,,,,,[12],[0],[0.1430054332879081],"{'mse': 0.06429970311675585, 'rmse': 0.00425705608052846, 'mae': 0.03730387730946287, 'smape': 0.24811062061282124, 'loss': 0.003900101156129191}","{'mse': [0.3138625645126591], 'rmse': [0.12438784412662438], 'mae': [0.21104879146838892], 'smape': [1.1644991004815937], 'loss': [0.11618543023036586]}"
small,1,0.75,0.5,5,21.844860315322876,,,,,,,,,,,"[8, 10, 12, 16, 17]","[0, 0, 0, 0, 0]",[0.05909703230087568],"{'mse': 0.04763339173520097, 'rmse': 0.00234176686547121, 'mae': 0.024835942419192108, 'smape': 0.18567577238250513, 'loss': 0.002141464763553813}","{'mse': [0.2656121365972567, 0.24822412383208006, 0.2664520900711534, 0.24058699081226956, 0.1874703743371801], 'rmse': [0.07488531611891089, 0.06972686572217524, 0.0903292291598199, 0.12829087151389146, 0.04709603471973535], 'mae': [0.16531994662319238, 0.15690351136548158, 0.1590839560087698, 0.1427562565190783, 0.11170444897834386], 'smape': [1.0355123429985997, 0.80612404073315, 0.8112833445581363, 0.6178837719269408, 0.6716547789842016], 'loss': [0.06939314771443605, 0.06494573317468166, 0.08473418270134264, 0.12829087115824223, 0.047096035501454026]}"
small,1,0.75,0.75,1,4.501499652862549,,,,,,,,,,,[12],[0],[0.09412704921948413],"{'mse': 0.058965277571999215, 'rmse': 0.003545152871869613, 'mae': 0.03382717764732435, 'smape': 0.24401137676755683, 'loss': 0.0032387339936879775}","{'mse': [0.3154766372950598], 'rmse': [0.11220662944320389], 'mae': [0.17617643277283557], 'smape': [0.9012564396472877], 'loss': [0.10086589221221705]}"
small,1,0.75,0.75,5,21.71684503555298,,,,,,,,,,,"[8, 10, 12, 16, 17]","[0, 0, 0, 0, 0]",[0.1136039737398581],"{'mse': 0.06370625258613016, 'rmse': 0.004368352429538084, 'mae': 0.030714985347675302, 'smape': 0.17128713305799048, 'loss': 0.004004421052134906}","{'mse': [0.14812993898320986, 0.32412595206018824, 0.3338060623799285, 0.16953862421879073, 0.12255886103141733], 'rmse': [0.03208006214422671, 0.10980402570702999, 0.12708285686947945, 0.03837174495982597, 0.017842431668757677], 'mae': [0.07241597721496454, 0.19029742245956396, 0.1749206682723088, 0.09126805631979096, 0.06814174014607488], 'smape': [0.35394916989503206, 1.0547895316183618, 0.9495205131338248, 0.5565884234181616, 0.5414821551965221], 'loss': [0.029397121164947748, 0.1007774184561438, 0.11943922264294492, 0.03837174648651853, 0.01784243173460709]}"
small,1,1.0,0.25,1,5.651900768280029,,,,,,,,,,,[12],[0],[0.14770404164952006],"{'mse': 0.06712268584729891, 'rmse': 0.004659763774400268, 'mae': 0.03925078700868731, 'smape': 0.23533188541748312, 'loss': 0.004314168666799863}","{'mse': [0.2800666475738368], 'rmse': [0.0892497530013758], 'mae': [0.1870132787545688], 'smape': [0.9991292707481016], 'loss': [0.08177117817103863]}"
small,1,1.0,0.25,5,28.304302215576172,,,,,,,,,,,"[8, 10, 12, 16, 17]","[0, 0, 0, 0, 0]",[0.0759299505757793],"{'mse': 0.05228575664870742, 'rmse': 0.0028970141959095306, 'mae': 0.02901976096461742, 'smape': 0.18485314485626167, 'loss': 0.002659724469089674}","{'mse': [0.23658238487366878, 0.2115997486253438, 0.23531082572755085, 0.22436174691596303, 0.36063661989886997], 'rmse': [0.06791600650981325, 0.05397618085719192, 0.07127301897995103, 0.06660948306104439, 0.17050217423995506], 'mae': [0.1478845843570665, 0.13396300999044727, 0.14102817272682594, 0.13968713468193528, 0.22014386266846486], 'smape': [0.7651991586206504, 0.7766814737788178, 0.743101289140968, 0.7422704157032214, 0.8667297158700648], 'loss': [0.06257886770698759, 0.04958534426987171, 0.06595940618879265, 0.06660948251374066, 0.1705021671950817]}"
