,DATE,LEVEL,PRESS,RAIN,TEMP,WDIR,WSPEED
38,2020-01-02 14:00:00,18.0,1032.4,0.0,7.5,238.0,3.4
39,2020-01-02 15:00:00,11.0,1031.9,0.0,8.0,249.0,3.6
40,2020-01-02 16:00:00,5.0,1031.9,0.0,8.8,233.0,2.6
41,2020-01-02 17:00:00,-3.0,1031.7,0.0,7.9,228.0,3.6
42,2020-01-02 18:00:00,-10.0,1031.8,0.0,7.7,226.0,3.5
43,2020-01-02 19:00:00,-14.0,1032.2,0.0,7.0,248.0,5.6
44,2020-01-02 20:00:00,-15.0,1031.8,0.0,6.6,248.0,4.7
45,2020-01-02 21:00:00,-8.0,1031.6,0.0,6.1,245.0,4.7
46,2020-01-02 22:00:00,0.0,1031.3,0.0,5.9,246.0,1.6
47,2020-01-02 23:00:00,10.0,1031.5,0.0,6.5,265.0,2.8
48,2020-01-03 00:00:00,22.0,1031.1,0.0,5.9,256.0,2.3
49,2020-01-03 01:00:00,34.0,1030.8,0.0,5.9,237.0,1.5
50,2020-01-03 02:00:00,43.0,1030.6,0.0,5.4,224.0,2.4
51,2020-01-03 03:00:00,50.0,1030.2,0.0,3.8,233.0,2.5
52,2020-01-03 04:00:00,55.0,1029.9,0.0,2.6,252.0,4.2
53,2020-01-03 05:00:00,55.0,1029.8,0.0,2.5,290.0,1.6
54,2020-01-03 06:00:00,51.0,1029.5,0.0,2.5,269.0,1.2
55,2020-01-03 07:00:00,43.0,1029.7,0.0,2.6,263.0,2.4
56,2020-01-03 08:00:00,36.0,1029.9,0.0,2.6,358.0,1.1
57,2020-01-03 09:00:00,24.0,1029.9,0.0,2.6,329.0,1.2
58,2020-01-03 10:00:00,15.0,1030.5,0.0,2.4,262.0,2.1
59,2020-01-03 11:00:00,10.0,1029.8,0.0,2.6,259.0,1.1
60,2020-01-03 12:00:00,8.0,1029.4,0.0,2.6,261.0,2.1
61,2020-01-03 13:00:00,6.0,1028.5,0.0,3.0,250.0,2.1
62,2020-01-03 14:00:00,6.0,1027.9,0.0,3.1,273.0,2.2
63,2020-01-03 15:00:00,7.0,1027.8,0.0,4.8,278.0,0.9
64,2020-01-03 16:00:00,5.0,1027.5,0.0,4.6,259.0,1.6
65,2020-01-03 17:00:00,3.0,1027.1,0.0,5.2,282.0,3.0
